Date,AAPL,GOOGL,MSFT,META,AMZN
2023-02-08,149.52223205566406,98.62482452392578,259.9084777832031,182.15757751464844,100.05000305175781
2023-02-09,148.48883056640625,94.29751586914062,256.8779296875,176.685791015625,98.23999786376953
2023-02-10,148.8535614013672,93.86082458496094,256.37127685546875,172.9419403076172,97.61000061035156
2023-02-13,151.6529998779297,93.9005126953125,264.3810729980469,178.18531799316406,99.54000091552734
2023-02-14,151.0122528076172,93.96998596191406,265.2093200683594,178.2349853515625,99.69999694824219
2023-02-15,153.11184692382812,96.21304321289062,263.0895080566406,175.93106079101562,101.16000366210938
2023-02-16,151.51498413085938,94.79375457763672,256.08538818359375,171.2438201904297,98.1500015258789
2023-02-17,150.3715362548828,93.6424560546875,252.08999633789062,171.68075561523438,97.19999694824219
2023-02-21,146.3596649169922,91.1016616821289,246.82469177246094,170.8862762451172,94.58000183105469
2023-02-22,146.7835235595703,90.96270751953125,245.69154357910156,169.93296813964844,95.79000091552734
2023-02-23,147.26654052734375,90.20840454101562,248.87612915039062,170.84657287597656,95.81999969482422
2023-02-24,144.61495971679688,88.46160125732422,243.4545135498047,169.2080078125,93.5
2023-02-27,145.80767822265625,89.19606018066406,244.37278747558594,168.36390686035156,93.76000213623047
2023-02-28,145.30494689941406,89.38463592529297,243.64988708496094,173.72645568847656,94.2300033569336
2023-03-01,143.23492431640625,89.68238830566406,240.57276916503906,172.2169952392578,92.16999816894531
2023-03-02,143.8263702392578,91.3100814819336,245.30078125,173.31932067871094,92.12999725341797
2023-03-03,148.8732452392578,92.94771575927734,249.3840789794922,183.96493530273438,94.9000015258789
2023-03-06,151.63327026367188,94.41661071777344,250.9275360107422,183.61737060546875,93.75
2023-03-07,149.4351043701172,93.15613555908203,248.27047729492188,183.23007202148438,93.55000305175781
2023-03-08,150.68699645996094,93.543212890625,247.83087158203125,183.68687438964844,93.91999816894531
2023-03-09,148.43954467773438,91.627685546875,246.48284912109375,180.42965698242188,92.25
2023-03-10,146.37939453125,89.95034790039062,242.839111328125,178.26475524902344,90.7300033569336
2023-03-13,148.32122802734375,90.4267578125,248.0457763671875,179.64511108398438,92.43000030517578
2023-03-14,150.41099548339844,93.26531982421875,254.7568359375,192.67410278320312,94.87999725341797
2023-03-15,150.8052978515625,95.38926696777344,259.29931640625,196.3782501220703,96.19999694824219
2023-03-16,153.62445068359375,99.56770324707031,269.81036376953125,203.5084228515625,100.04000091552734
2023-03-17,152.78656005859375,100.85794067382812,272.9656982421875,194.25306701660156,98.94999694824219
2023-03-20,155.1522979736328,100.46095275878906,265.9321594238281,196.4378204345703,97.70999908447266
2023-03-21,157.0054473876953,104.1332015991211,267.4463195800781,200.75765991210938,100.61000061035156
2023-03-22,155.576171875,102.59481811523438,265.9908447265625,198.42393493652344,98.69999694824219
2023-03-23,156.66043090820312,104.80809783935547,271.2366027832031,202.86293029785156,98.70999908447266
2023-03-24,157.96157836914062,104.6493148803711,274.07928466796875,204.5809326171875,98.12999725341797
2023-03-27,156.01971435546875,101.69164276123047,269.9862060546875,201.4329071044922,98.04000091552734
2023-03-28,155.39871215820312,100.27237701416016,268.86279296875,199.28790283203125,97.23999786376953
2023-03-29,158.4741668701172,100.62968444824219,274.02069091796875,203.92550659179688,100.25
2023-03-30,160.0414581298828,100.1334228515625,277.478759765625,206.39825439453125,102.0
2023-03-31,162.545166015625,102.95213317871094,281.6304626464844,210.46978759765625,103.29000091552734
2023-04-03,163.7970428466797,103.57740020751953,280.5851745605469,211.59197998046875,102.41000366210938
2023-04-04,163.26478576660156,103.93470001220703,280.536376953125,213.23052978515625,103.94999694824219
2023-04-05,161.4214630126953,103.68656921386719,277.7619934082031,210.01300048828125,101.0999984741211
2023-04-06,162.3086395263672,107.6069564819336,284.8540954589844,214.60096740722656,102.05999755859375
2023-04-10,159.71617126464844,105.64179992675781,282.69525146484375,213.26031494140625,102.16999816894531
2023-04-11,158.50372314453125,104.55996704101562,276.28692626953125,212.3665771484375,99.91999816894531
2023-04-12,157.81375122070312,103.85530090332031,276.93170166015625,212.5155029296875,97.83000183105469
2023-04-13,163.1957550048828,106.62438201904297,283.1347961425781,218.8214569091797,102.4000015258789
2023-04-14,162.85076904296875,108.05358123779297,279.5204162597656,219.95355224609375,102.51000213623047
2023-04-17,162.8704833984375,105.17532348632812,282.118896484375,217.34181213378906,102.73999786376953
2023-04-18,164.09278869628906,103.71635437011719,281.6987609863281,216.37852478027344,102.30000305175781
2023-04-19,165.23622131347656,103.39875030517578,281.7770080566406,214.20370483398438,104.30000305175781
2023-04-20,164.2702178955078,104.50041961669922,279.49114990234375,211.59197998046875,103.80999755859375
2023-04-21,162.66346740722656,104.61952209472656,279.1491394042969,211.41319274902344,106.95999908447266
2023-04-24,162.96905517578125,105.17532348632812,275.25152587890625,211.3139190673828,106.20999908447266
2023-04-25,161.43130493164062,103.07122802734375,269.04840087890625,206.11026000976562,102.56999969482422
2023-04-26,161.4214630126953,102.9322738647461,288.536865234375,207.94740295410156,104.9800033569336
2023-04-27,166.0050506591797,106.78317260742188,297.778076171875,236.90513610839844,109.81999969482422
2023-04-28,167.25692749023438,106.53504943847656,300.15191650390625,238.65293884277344,105.44999694824219
2023-05-01,167.16819763183594,106.39610290527344,298.49114990234375,241.49310302734375,102.05000305175781
2023-05-02,166.1331787109375,104.53020477294922,298.3446350097656,237.5804443359375,103.62999725341797
2023-05-03,165.0587615966797,104.61952209472656,297.35797119140625,235.38577270507812,103.6500015258789
2023-05-04,163.42247009277344,103.9049301147461,298.3446350097656,231.90013122558594,104.0
2023-05-05,171.09140014648438,104.77831268310547,303.46337890625,231.1652374267578,105.66000366210938
2023-05-08,171.02239990234375,106.9618148803711,301.50958251953125,231.65184020996094,105.83000183105469
2023-05-09,169.3170928955078,106.54497528076172,299.8978576660156,231.7511444091797,106.62000274658203
2023-05-10,171.0814971923828,110.9119873046875,305.0849609375,231.46315002441406,110.19000244140625
2023-05-11,171.268798828125,115.69583129882812,302.9359130859375,234.1543426513672,112.18000030517578
2023-05-12,170.34095764160156,116.62877655029297,301.8222351074219,232.18807983398438,110.26000213623047
2023-05-15,169.847412109375,115.63628387451172,302.3009338378906,237.2030487060547,111.19999694824219
